array size,hash_table,scan_line,true_scan_line,scan_line_without_sort,naive_collisions
2,60,60,60,1.5114179996089661e-05,2.210929942521034e-06,6.1010399804217744e-06
4,60,60,60,4.318507000789395e-05,7.501800018872018e-06,8.766589962760918e-06
8,60,60,60,0.0007504173899815214,1.9259920018157574e-05,2.6203659999737283e-05
16,60,60,60,0.0001855185400108894,8.234304999859887e-05,9.732160999192274e-05
32,60,60,60,0.0006869813699813676,0.0002673417899859487,0.0003207888400174852
64,60,55,52,0.0019150431200068852,0.0010395112700098252,0.0011781762799910212
128,32,31,30,0.00454677249001179,0.003970192290025807,0.004721132590002525
256,12,14,13,0.012386183519947736,0.013495167080027386,0.017810895349985003
512,4,5,6,0.03337542322991794,0.05082590464996429,0.07048406384998998
1024,2,2,2,0.08618778491999364,0.19518213948997074,0.27147807942992586
